flood_id,start_date,end_date,duration,total_rainfall,max_rainfall
409,2022-08-16,2022-08-16,1,11.972427,11.972427
410,2022-08-20,2022-08-20,1,24.685383,24.685383
411,2022-08-23,2022-08-24,2,48.240184,35.424232
412,2022-08-26,2022-08-27,2,32.018662,18.431664
413,2022-08-31,2022-08-31,1,18.470287,18.470287
414,2022-09-05,2022-09-05,1,16.382217,16.382217
415,2022-09-09,2022-09-09,1,23.960114,23.960114
416,2022-09-12,2022-09-13,2,43.022633,22.781849
417,2022-09-16,2022-09-16,1,16.91246,16.91246
418,2022-09-20,2022-09-20,1,36.443233,36.443233
419,2023-04-30,2023-04-30,1,13.010502,13.010502
420,2023-05-18,2023-05-18,1,14.830112,14.830112
421,2023-06-11,2023-06-11,1,34.517765,34.517765
422,2023-06-29,2023-06-29,1,20.271778,20.271778
423,2023-07-08,2023-07-08,1,12.753963,12.753963
424,2023-07-16,2023-07-16,1,15.614033,15.614033
425,2023-07-25,2023-07-25,1,25.024414,25.024414
426,2023-07-29,2023-07-29,1,14.255047,14.255047
427,2023-08-02,2023-08-02,1,18.054008,18.054008
428,2023-08-06,2023-08-06,1,14.665604,14.665604
429,2023-08-09,2023-08-10,2,64.014912,42.283535
430,2023-08-13,2023-08-13,1,12.730122,12.730122
431,2023-08-17,2023-08-17,1,15.061855,15.061855
432,2023-08-23,2023-08-23,1,11.399269,11.399269
433,2023-08-26,2023-08-26,1,13.858795,13.858795
434,2023-08-28,2023-08-28,1,11.579514,11.579514
435,2023-09-05,2023-09-06,2,39.902687,26.191711
436,2023-09-12,2023-09-12,1,13.991833,13.991833
437,2024-04-21,2024-04-21,1,11.140823,11.140823
438,2024-06-19,2024-06-19,1,12.247086,12.247086
439,2024-06-25,2024-06-25,1,16.930103,16.930103
440,2024-07-08,2024-07-09,2,105.609898,86.69949
441,2024-07-12,2024-07-12,1,11.618137,11.618137
442,2024-07-17,2024-07-17,1,13.395786,13.395786
443,2024-07-29,2024-07-29,1,26.537418,26.537418
444,2024-08-08,2024-08-08,1,14.74905,14.74905
445,2024-08-12,2024-08-13,2,61.701298,46.283245
446,2024-08-20,2024-08-20,1,38.731575,38.731575
447,2024-08-27,2024-08-27,1,32.641888,32.641888
448,2024-08-30,2024-08-30,1,12.785912,12.785912
449,2024-09-07,2024-09-07,1,22.828102,22.828102
450,2024-09-15,2024-09-15,1,11.260033,11.260033
451,2024-09-19,2024-09-19,1,12.075424,12.075424
452,2024-09-23,2024-09-23,1,19.232273,19.232273
453,2024-10-05,2024-10-07,3,49.00741500000001,21.22116
